,Genome,Genus,Species
44,GCF_014642955.1,Dickeya,fangzhongdai
45,GCF_000808245.1,Pectobacterium,brasiliense
46,GCF_018219365.1,Pectobacterium,versatile A
47,GCF_001984535.1,Pectobacterium,actinidiae
48,GCF_002904025.1,Pectobacterium,carotovorum
49,GCF_016949995.1,Pectobacterium,brasiliense
50,GCF_009931295.1,Pectobacterium,carotovorum
51,GCF_013449415.1,Pectobacterium,carotovorum
52,GCF_002906735.1,Dickeya,dianthicola
53,GCF_000023605.1,Pectobacterium,aroidearum
54,GCF_003382655.2,Pectobacterium,aquaticum
55,GCF_012278405.1,Dickeya,oryzae
56,GCF_000365285.1,Dickeya,solani
57,GCF_000406165.1,Dickeya,zeae
58,GCF_003628615.1,Pectobacterium,parmentieri
59,GCF_013449375.1,Pectobacterium,sp013449375
60,GCF_016949085.1,Pectobacterium,aquaticum
61,GCF_016404945.1,Dickeya,solani
62,GCF_013449385.1,Pectobacterium,carotovorum
63,GCF_000023565.1,Dickeya,chrysanthemi
64,GCF_015689195.1,Pectobacterium,aroidearum
65,GCF_001984525.1,Pectobacterium,actinidiae
66,GCF_000406045.1,Dickeya,oryzae
67,GCF_003725575.1,Dickeya,undicola
68,GCF_018361225.1,Dickeya,dianthicola
69,GCF_014946805.1,Pectobacterium,aquaticum
70,GCF_013449715.1,Pectobacterium,aroidearum
71,GCF_002706485.1,Dickeya,dianthicola
72,GCF_000696465.1,Pectobacterium,atrosepticum
73,GCF_014854755.1,Dickeya,fangzhongdai
74,GCF_003628595.1,Pectobacterium,parmentieri
75,GCF_000406105.1,Dickeya,chrysanthemi
76,GCF_016949095.1,Pectobacterium,brasiliense A
77,GCF_002921235.2,Pectobacterium,versatile A
78,GCF_002307355.1,Pectobacterium,polaris
79,GCF_016415585.1,Pectobacterium,carotovorum
80,GCF_000738125.1,Pectobacterium,brasiliense
81,GCF_016949935.1,Pectobacterium,polaris
82,GCF_900095885.1,Dickeya,aquatica
83,GCF_002812485.1,Dickeya,fangzhongdai
84,GCF_001742185.1,Pectobacterium,wasabiae
85,GCF_003031305.1,Pectobacterium,versatile A
86,GCF_001187965.2,Dickeya,fangzhongdai
87,GCF_018361045.1,Dickeya,dianthicola
88,GCF_016949335.1,Pectobacterium,brasiliense
89,GCF_016864975.1,Pectobacterium,brasiliense
90,GCF_000740965.1,Pectobacterium,atrosepticum
91,GCF_000011605.1,Pectobacterium,atrosepticum
92,GCF_004137795.1,Pectobacterium,zantedeschiae
93,GCF_013449475.1,Pectobacterium,brasiliense
94,GCF_000808375.1,Pectobacterium,brasiliense
95,GCF_016944595.1,Pectobacterium,brasiliense
96,GCF_009931195.1,Pectobacterium,carotovorum
97,GCF_000406285.1,Dickeya,aquatica
98,GCF_000365365.1,Dickeya,dianthicola
99,GCF_016988595.1,Pectobacterium,brasiliense
100,GCF_017161585.1,Dickeya,solani
101,GCF_016949035.1,Pectobacterium,versatile A
102,GCF_016944615.1,Pectobacterium,brasiliense
103,GCF_003628715.1,Pectobacterium,parmentieri
104,GCF_018361165.1,Dickeya,dianthicola
105,GCF_016944235.1,Pectobacterium,brasiliense
106,GCF_000632375.1,Pectobacterium,parmentieri
107,GCF_016949055.1,Pectobacterium,brasiliense A
108,GCF_016126895.1,Pectobacterium,parmentieri
109,GCF_014946845.1,Pectobacterium,aquaticum
